Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined
EURO FX - CHICAGO MERCANTILE EXCHANGE,060822,2006-08-22,099741,CME,00,099,175943.000000,11753.000000,116692.000000,7855.000000,17037.000000,11437.000000,3811.000000,68246.000000,6883.000000,646.000000,8667.000000,1077.000000,0.000000,118015.000000,148401.000000,57928.000000,27542.000000,-2818.000000,-1239.000000,-6316.000000,976.000000,-3234.000000,-6.000000,361.000000,-4905.000000,307.000000,452.000000,450.000000,-52.000000,0.000000,-7139.000000,-4278.000000,4321.000000,1460.000000,100.000000,6.700000,66.300000,4.500000,9.700000,6.500000,2.200000,38.800000,3.900000,0.400000,4.900000,0.600000,0.000000,67.100000,84.300000,32.900000,15.700000,121,13,23,9,9,7,9,40,17,10,11,,0,90,59,21.200000,49.300000,28.700000,64.700000,21.100000,48.200000,27.300000,61.200000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060829,2006-08-29,099741,CME,00,099,170168.000000,13992.000000,107769.000000,8448.000000,17396.000000,10347.000000,3707.000000,63077.000000,7535.000000,1083.000000,7470.000000,1113.000000,27.000000,115200.000000,140029.000000,54968.000000,30139.000000,-5775.000000,2239.000000,-8923.000000,593.000000,359.000000,-1090.000000,-104.000000,-5169.000000,652.000000,437.000000,-1197.000000,36.000000,27.000000,-2815.000000,-8372.000000,-2960.000000,2597.000000,100.000000,8.200000,63.300000,5.000000,10.200000,6.100000,2.200000,37.100000,4.400000,0.600000,4.400000,0.700000,0.000000,67.700000,82.300000,32.300000,17.700000,119,14,21,6,9,7,8,40,15,9,11,,,83,60,22.100000,47.100000,29.400000,62.700000,22.000000,46.000000,27.800000,58.800000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060905,2006-09-05,099741,CME,00,099,171026.000000,14861.000000,108061.000000,8441.000000,18141.000000,9398.000000,3733.000000,59319.000000,9214.000000,2143.000000,7884.000000,2619.000000,26.000000,114548.000000,143635.000000,56478.000000,27391.000000,858.000000,869.000000,292.000000,-7.000000,745.000000,-949.000000,26.000000,-3758.000000,1679.000000,1060.000000,414.000000,1506.000000,-1.000000,-652.000000,3606.000000,1510.000000,-2748.000000,100.000000,8.700000,63.200000,4.900000,10.600000,5.500000,2.200000,34.700000,5.400000,1.300000,4.600000,1.500000,0.000000,67.000000,84.000000,33.000000,16.000000,120,16,19,10,9,7,9,37,16,12,11,5,,86,66,23.300000,47.100000,30.600000,62.400000,23.200000,46.400000,29.300000,58.700000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060912,2006-09-12,099741,CME,00,099,168483.000000,13545.000000,93994.000000,12110.000000,18597.000000,10035.000000,3123.000000,61227.000000,10696.000000,1986.000000,5151.000000,1682.000000,0.000000,115739.000000,133626.000000,52744.000000,34857.000000,-2543.000000,-1316.000000,-14067.000000,3669.000000,456.000000,637.000000,-610.000000,1908.000000,1482.000000,-157.000000,-2733.000000,-937.000000,-26.000000,1191.000000,-10009.000000,-3734.000000,7466.000000,100.000000,8.000000,55.800000,7.200000,11.000000,6.000000,1.900000,36.300000,6.300000,1.200000,3.100000,1.000000,0.000000,68.700000,79.300000,31.300000,20.700000,105,14,18,15,9,8,8,27,18,11,9,,0,80,59,24.500000,42.900000,32.400000,56.100000,24.400000,40.000000,31.500000,51.200000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060919,2006-09-19,099741,CME,00,099,131398.000000,9961.000000,69297.000000,1012.000000,18995.000000,9551.000000,2798.000000,46743.000000,13340.000000,1064.000000,5270.000000,2179.000000,4.000000,85847.000000,99245.000000,45551.000000,32153.000000,-37085.000000,-3584.000000,-24697.000000,-11098.000000,398.000000,-484.000000,-325.000000,-14484.000000,2644.000000,-922.000000,119.000000,497.000000,4.000000,-29892.000000,-34381.000000,-7193.000000,-2704.000000,100.000000,7.600000,52.700000,0.800000,14.500000,7.300000,2.100000,35.600000,10.200000,0.800000,4.000000,1.700000,0.000000,65.300000,75.500000,34.700000,24.500000,104,12,16,4,10,8,7,26,18,7,11,,,69,54,25.900000,39.500000,33.000000,50.300000,25.800000,37.600000,32.800000,48.300000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,060926,2006-09-26,099741,CME,00,099,136955.000000,11706.000000,80847.000000,2437.000000,19876.000000,7662.000000,2804.000000,43390.000000,11950.000000,644.000000,6927.000000,1082.000000,17.000000,87801.000000,107443.000000,49154.000000,29512.000000,5557.000000,1745.000000,11550.000000,1425.000000,881.000000,-1889.000000,6.000000,-3353.000000,-1390.000000,-420.000000,1657.000000,-1097.000000,13.000000,1954.000000,8198.000000,3603.000000,-2641.000000,100.000000,8.500000,59.000000,1.800000,14.500000,5.600000,2.000000,31.700000,8.700000,0.500000,5.100000,0.800000,0.000000,64.100000,78.500000,35.900000,21.500000,109,14,18,5,10,7,8,29,18,5,11,,,75,53,22.900000,42.300000,29.700000,54.100000,22.800000,40.200000,29.400000,51.000000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,061003,2006-10-03,099741,CME,00,099,142202.000000,10652.000000,81980.000000,3948.000000,19735.000000,6666.000000,2889.000000,50567.000000,13037.000000,1090.000000,7071.000000,1993.000000,102.000000,96054.000000,111705.000000,46148.000000,30497.000000,5247.000000,-1054.000000,1133.000000,1511.000000,-141.000000,-996.000000,85.000000,7177.000000,1087.000000,446.000000,144.000000,911.000000,85.000000,8253.000000,4262.000000,-3006.000000,985.000000,100.000000,7.500000,57.700000,2.800000,13.900000,4.700000,2.000000,35.600000,9.200000,0.800000,5.000000,1.400000,0.100000,67.500000,78.600000,32.500000,21.400000,115,13,19,5,10,7,8,29,19,7,13,5,,78,58,22.900000,39.700000,30.200000,50.700000,22.300000,37.000000,29.000000,46.700000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,061010,2006-10-10,099741,CME,00,099,150795.000000,18688.000000,65752.000000,4187.000000,20812.000000,5942.000000,2958.000000,41815.000000,28722.000000,2537.000000,8334.000000,2529.000000,0.000000,99331.000000,112627.000000,51464.000000,38168.000000,8593.000000,8036.000000,-16228.000000,239.000000,1077.000000,-724.000000,69.000000,-8752.000000,15685.000000,1447.000000,1263.000000,536.000000,-102.000000,3277.000000,922.000000,5316.000000,7671.000000,100.000000,12.400000,43.600000,2.800000,13.800000,3.900000,2.000000,27.700000,19.000000,1.700000,5.500000,1.700000,0.000000,65.900000,74.700000,34.100000,25.300000,118,16,19,7,11,7,8,22,27,10,12,4,0,74,69,23.400000,32.900000,31.000000,43.700000,21.900000,32.900000,28.500000,42.600000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,061017,2006-10-17,099741,CME,00,099,154610.000000,26200.000000,63574.000000,3032.000000,22357.000000,4884.000000,2799.000000,41452.000000,34619.000000,2430.000000,6949.000000,2211.000000,0.000000,105219.000000,113549.000000,49391.000000,41061.000000,3815.000000,7512.000000,-2178.000000,-1155.000000,1545.000000,-1058.000000,-159.000000,-363.000000,5897.000000,-107.000000,-1385.000000,-318.000000,0.000000,5888.000000,922.000000,-2073.000000,2893.000000,100.000000,16.900000,41.100000,2.000000,14.500000,3.200000,1.800000,26.800000,22.400000,1.600000,4.500000,1.400000,0.000000,68.100000,73.400000,31.900000,26.600000,125,19,17,6,11,5,7,25,32,9,12,4,0,79,68,20.200000,32.500000,29.700000,41.800000,18.800000,32.000000,27.900000,40.900000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,061024,2006-10-24,099741,CME,00,099,158034.000000,31091.000000,63290.000000,2946.000000,23359.000000,5381.000000,2825.000000,41209.000000,37360.000000,2358.000000,7867.000000,2237.000000,290.000000,111945.000000,116687.000000,46089.000000,41347.000000,3424.000000,4891.000000,-284.000000,-86.000000,1002.000000,497.000000,26.000000,-243.000000,2741.000000,-72.000000,918.000000,26.000000,290.000000,6726.000000,3138.000000,-3302.000000,286.000000,100.000000,19.700000,40.000000,1.900000,14.800000,3.400000,1.800000,26.100000,23.600000,1.500000,5.000000,1.400000,0.200000,70.800000,73.800000,29.200000,26.200000,123,20,17,11,11,5,7,24,29,11,13,5,,82,71,20.700000,29.200000,31.100000,40.500000,20.300000,29.200000,29.800000,39.800000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,061031,2006-10-31,099741,CME,00,099,162230.000000,13380.000000,94586.000000,7483.000000,23176.000000,4978.000000,2922.000000,55998.000000,14863.000000,3199.000000,6527.000000,2885.000000,0.000000,112685.000000,130916.000000,49545.000000,31314.000000,4196.000000,-17711.000000,31296.000000,4537.000000,-183.000000,-403.000000,97.000000,14789.000000,-22497.000000,841.000000,-1340.000000,648.000000,-290.000000,740.000000,14229.000000,3456.000000,-10033.000000,100.000000,8.200000,58.300000,4.600000,14.300000,3.100000,1.800000,34.500000,9.200000,2.000000,4.000000,1.800000,0.000000,69.500000,80.700000,30.500000,19.300000,124,10,26,10,11,6,7,33,19,11,13,6,0,85,67,22.600000,37.300000,31.600000,49.800000,22.400000,35.700000,29.400000,46.400000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,061107,2006-11-07,099741,CME,00,099,178237.000000,15728.000000,114291.000000,7545.000000,21878.000000,4223.000000,3000.000000,68434.000000,13554.000000,3187.000000,5447.000000,4616.000000,0.000000,125219.000000,150416.000000,53018.000000,27821.000000,16007.000000,2348.000000,19705.000000,62.000000,-1298.000000,-755.000000,78.000000,12436.000000,-1309.000000,-12.000000,-1080.000000,1731.000000,0.000000,12534.000000,19500.000000,3473.000000,-3493.000000,100.000000,8.800000,64.100000,4.200000,12.300000,2.400000,1.700000,38.400000,7.600000,1.800000,3.100000,2.600000,0.000000,70.300000,84.400000,29.700000,15.600000,131,11,28,8,10,5,6,37,21,8,11,7,0,84,69,22.100000,40.200000,32.100000,52.200000,22.000000,38.500000,30.900000,49.300000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,061114,2006-11-14,099741,CME,00,099,170609.000000,19295.000000,110144.000000,6744.000000,21625.000000,4012.000000,3366.000000,56684.000000,9314.000000,3090.000000,4980.000000,2905.000000,0.000000,115784.000000,139575.000000,54825.000000,31034.000000,-7628.000000,3567.000000,-4147.000000,-801.000000,-253.000000,-211.000000,366.000000,-11750.000000,-4240.000000,-97.000000,-467.000000,-1711.000000,0.000000,-9435.000000,-10841.000000,1807.000000,3213.000000,100.000000,11.300000,64.600000,4.000000,12.700000,2.400000,2.000000,33.200000,5.500000,1.800000,2.900000,1.700000,0.000000,67.900000,81.800000,32.100000,18.200000,124,13,24,7,10,5,7,35,19,11,10,8,0,84,65,17.900000,40.400000,27.400000,53.600000,17.400000,38.300000,26.000000,50.600000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,061121,2006-11-21,099741,CME,00,099,178692.000000,25082.000000,119384.000000,6656.000000,21351.000000,3721.000000,3018.000000,58168.000000,8740.000000,2982.000000,5913.000000,3478.000000,0.000000,123170.000000,147979.000000,55522.000000,30713.000000,8083.000000,5787.000000,9240.000000,-88.000000,-274.000000,-291.000000,-348.000000,1484.000000,-574.000000,-108.000000,933.000000,573.000000,0.000000,7386.000000,8404.000000,697.000000,-321.000000,100.000000,14.000000,66.800000,3.700000,11.900000,2.100000,1.700000,32.600000,4.900000,1.700000,3.300000,1.900000,0.000000,68.900000,82.800000,31.100000,17.200000,125,16,22,7,11,5,7,40,15,10,11,5,0,90,59,15.300000,45.100000,25.000000,57.800000,14.900000,43.500000,23.900000,54.700000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,061128,2006-11-28,099741,CME,00,099,207573.000000,23290.000000,133157.000000,9025.000000,24985.000000,2212.000000,2868.000000,72313.000000,11785.000000,4511.000000,9120.000000,1796.000000,15.000000,146127.000000,165369.000000,61446.000000,42204.000000,28881.000000,-1792.000000,13773.000000,2369.000000,3634.000000,-1509.000000,-150.000000,14145.000000,3045.000000,1529.000000,3207.000000,-1682.000000,15.000000,22957.000000,17390.000000,5924.000000,11491.000000,100.000000,11.200000,64.100000,4.300000,12.000000,1.100000,1.400000,34.800000,5.700000,2.200000,4.400000,0.900000,0.000000,70.400000,79.700000,29.600000,20.300000,131,14,23,14,12,,8,45,16,13,14,4,,103,64,16.100000,44.000000,24.600000,56.400000,15.600000,42.600000,23.400000,53.200000,(CONTRACTS OF EUR 125000),099741,CME,099,F10,FutOnly
